codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
APO0127,250,C,0,12,C,Lum. 240  V Hg 250 W en poste con red preen Autocontrolada pot. cte. A,APD-0OLAM250AC,30,
SPV0027,,,0,0,,Secc. 22kV 3F con seccionador fus. unipolar ab. 100A,SPV-3S100,,
APO0972,63,C,0,10,C,Lum. 240V Led 63 W en poste  con red aérea Autocontrolada pot. Cte. C,APD-0PLCL63AC,6.3,
COO0261,,,0,0,,Conductor Clase 15kV Cu 400 MCM,CO0-0V400,,
SPV0036,,,0,0,,Secc. 22kV 3F con seccionador de cuchilla con disp. rompearco 200A,SPV-3O200,,
SDD0036,3.92,,,,,SGDA 240V 1F Fotovoltaica de 3.92kW,SDD-1F3.92,,
TRR0369,87.5,C,0,0,,Banco de 2 transformadores en paralelo 34.5 kV monofásicos 87.5 KVA en poste,TRR-1B87.5,,
TUT0026,400,C,0,0,,Transformador  13kV 3F conv. frente muerto 400 kVA,TUT-3M400,,
APO0350,400,C,0,12,,Lum. 240 V Na 400 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCS400AC,48,
ECS0032,300,M,0,0,,Regulador de voltaje bobina múltiple 6kV 1F 300 kVA ctrl manual,ECS-1EM300,,
ECS0024,300,M,0,0,,Regulador de voltaje bobina fija 6kV 3F 300 kVA ctrl manual,ECS-3RM300,,
ECR0041,600,C,0,0,,Capacitor fijo 34.5kV 3F 600kVAR,ECR-3C600,,
TRR0025,125,C,0,0,,Transformador 34.5 kV 3F conv. 125 kVA en poste,TRR-3C125,,
TRS0047,330,C,0,0,,Transformador 6 kV 3F conv. 330 kVA en poste,TRS-3C330,,
TUT0109,300,C,0,0,,Banco de 3 transformadores 13 kV 1F convenc. Frente muerto 300 kVA,TUT-3R300,,
SPD0039,,,0,0,,Secc. 240V 3F con Interruptor Termomagnetico de 100 A,SPD-3M100,,
SPR0078,,,0,0,,Secc. 34.5 kV 3F con reconectador 560A BIL 95,SPR-3R560_95,,
ESS0041,,,0,0,,Est. 6 kV 2F Centrada Angular deriv. 2F Bandera Angular,ESS-2CA+2BA,,
ECT0067,1200,A,0,0,,Capacitor automático 13kV 3F 1200kVAR,ECT-3A1200,,
AOD0120,3,C,0,10,C,Lum. 240 V Ornamental Led 3 W en piso Hilo Piloto. pot. cte.,AOD-0ILL3PC,0.3,
TRV0227,45,C,0,0,,Banco de 2 transformadores 22 kV monofásicos 45 kVA en poste,TRV-3B45,,
AOD0094,38,C,0,16,C,Proy. 240 V Ornamental Hg 38 W en poste Hilo Piloto. pot. cte.,AOD-0PPM38PC,6.08,
APO0506,250,C,0,12,,Proy. 240 V Na 250 W en poste con red subt hilo piloto pot. cte. C,APD-0SPCS250PC,30,
POO9004,,,0,0,,Poste Hormigón armado Ornamental de 8m carga de rotura 500kg,PO0-0HO8_500,,
ESD0020,,,0,0,,Est. 240V 3 vías Vertical Pasante deriv. 3 vías Vertical Retención,ESD-3EP+3ER,,
ECR0019,200,E,0,0,,Regulador de voltaje bobina fija 34.5kV 1F 200 kVA ctrl electrónico,ECR-1RE200,,
COO0161,,,0,0,,Conductor TTU Cu #500 MCM,CO0-0P500,,
TRT0280,6,C,0,0,,Banco de 2 transformadores 13 kV monofasicos 6KVA en poste,TRT-3B6,,
TAV0003,,,0,0,,Tensor Farol Doble en redes de dist. 22 kV,TAV-0FD,,
ESE0008,,,0,0,,Est. 0V Preensamblado Pasante con 1 conduct.,ESD-1PP1,,
SPT0073,,,0,0,,Secc. 13 kV 3F con seccionador fus. unipolar cerrado 100A,SPT-3D100,,
POO4109,,,0,0,,Poste Hormigón armado Circular de 16.5 m carga de rotura 1000 kg,PO0-0HC16.5_1000,,
ESE0002,,,0,0,,Est. 0V 1 vía Vertical Retención,ESE-1ER,,
